Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,Value
2010,A,0,ZIMSTAT_National_Account_Report,NY_GDP_PCAP,,PT,19.7
2011,A,0,ZIMSTAT_National_Account_Report,NY_GDP_PCAP,,PT,14.2
2012,A,0,ZIMSTAT_National_Account_Report,NY_GDP_PCAP,,PT,16.7
2013,A,0,ZIMSTAT_National_Account_Report,NY_GDP_PCAP,,PT,2.0
2014,A,0,ZIMSTAT_National_Account_Report,NY_GDP_PCAP,,PT,2.4
2015,A,0,ZIMSTAT_National_Account_Report,NY_GDP_PCAP,,PT,1.8
2016,A,0,ZIMSTAT_National_Account_Report,NY_GDP_PCAP,,PT,0.8
2017,A,0,ZIMSTAT_National_Account_Report,NY_GDP_PCAP,,PT,4.7
2018,A,0,ZIMSTAT_National_Account_Report,NY_GDP_PCAP,,PT,4.8
2019,A,0,ZIMSTAT_National_Account_Report,NY_GDP_PCAP,,PT,-6.3
2020,A,0,ZIMSTAT_National_Account_Report,NY_GDP_PCAP,,PT,-7.8
2021,A,0,ZIMSTAT_National_Account_Report,NY_GDP_PCAP,,PT,8.5
2022,A,0,ZIMSTAT_National_Account_Report,NY_GDP_PCAP,,PT,7.4
2023,A,0,ZIMSTAT_National_Account_Report,NY_GDP_PCAP,,PT,5.3
